"TaskPath","TaskName","State","LastRunTime","LastTaskResult","NextRunTime"
"\","OneDrive Per-Machine Standalone Update Task","Ready","2026/09/20 15:23:24","2147806724","2026/09/22 10:53:04"
"\","RtkAudUService64_BG","Running","2026/09/17 09:00:11","267009",
"\Microsoft\Office\","Office Actions Server","Ready","2026/09/17 09:09:41","2147958106","2026/09/21 12:00:00"
"\Microsoft\Office\","Office Feature Updates","Ready","2026/09/20 15:23:24","2147946720","2026/09/21 17:54:49"
"\Microsoft\Office\","Office Performance Monitor","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Office\","Office Serviceability Manager","Ready","1999/11/30 00:00:00","267011","2026/09/21 17:29:45"
"\Microsoft\Office\","Office Startup Maintenance","Ready","2026/09/21 09:21:37","2147958106","2026/09/22 08:44:08"
"\Microsoft\Windows\AccountHealth\","RecoverabilityToastTask","Ready","2026/09/21 10:12:26","2147746132",
"\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Automated)","Disabled","1999/11/30 00:00:00","267011","2026/09/22 03:36:01"
"\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Manual)","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Application Experience\","MareBackup","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Application Experience\","Microsoft Compatibility Appraiser Exp","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Application Experience\","SdbinstMergeDbTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\BitLocker\","BitLocker Encrypt All Drives","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\BitLocker\","BitLocker MDM policy Refresh","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Bluetooth\","UninstallDeviceTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\BrokerInfrastructure\","BgTaskRegistrationMaintenanceTask","Ready","2026/09/16 17:45:32","268435456",
"\Microsoft\Windows\Chkdsk\","SyspartRepair","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\CloudExperienceHost\","CreateObjectTask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\CloudRestore\","Restore","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Data Integrity Scan\","Data Integrity Check And Scan","Ready","1999/11/30 00:00:00","267011","2026/09/21 23:38:15"
"\Microsoft\Windows\Data Integrity Scan\","Data Integrity Scan","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Data Integrity Scan\","Data Integrity Scan for Crash Recovery","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Device Setup\","Driver Recovery on Reboot","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\DiskDiagnostic\","Microsoft-Windows-DiskDiagnosticResolver","Disabled","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\DiskFootprint\","StorageSense","Ready","2026/09/20 15:43:42","2147746132",
"\Microsoft\Windows\DUSM\","dusmtask","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\EDP\","EDP App Launch Task","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\EDP\","EDP Auth Task","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\EDP\","EDP Inaccessible Credentials Task","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\EDP\","StorageCardEncryption Task","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\Flighting\FeatureConfig\","GovernedFeatureUsageProcessing","Ready","2026/09/16 19:36:01","2147943515",
"\Microsoft\Windows\input\","InputSettingsRestoreDataAvailable","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\input\","LocalUserSyncDataAvailable","Ready","2026/08/30 21:42:26","1073807364",
"\Microsoft\Windows\input\","PenSyncDataAvailable","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\input\","RemoteMouseSyncDataAvailable","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\input\","RemotePenSyncDataAvailable","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\input\","RemoteTouchpadSyncDataAvailable","Ready","1999/11/30 00:00:00","267011",
"\Microsoft\Windows\input\","syncpensettings","Ready","1999/11/30 00:00:00","267011",
