"ProcessName","Id","MemoryMB","CPUSeconds"
"msedge","15680","503,5","1870,9"
"Code","19812","260,6","59,9"
"explorer","2612","258","462,9"
"MsMpEng","15620","244,8","0"
"Code","10108","221,6","44,1"
"msedgewebview2","15348","186,4","1929,8"
"msedge","9828","180,8","339,4"
"Code","10872","129,4","16,9"
"Code","26020","113,6","15,8"
"Memory Compression","3084","108,6","0"
"msedge","17024","106,4","520,5"
"Code","19716","91,1","22"
"Code","22432","82,3","3,3"
"powershell","20100","74","0,7"
"OneDrive","13156","71,5","48,9"
"dwm","1804","64,9","0"
"msedge","18672","64,3","12,7"
"Code","23948","57,2","0,5"
"msedgewebview2","11136","56,1","70,6"
"ms-teams","14000","53,5","118,4"
"WmiPrvSE","6752","53,5","0"
"msedgewebview2","10052","51,8","88,4"
"msedgewebview2","14672","50,8","376,6"
"WhatsApp.Root","2044","49,5","61,4"
"powershell","5500","47,8","2,2"
